,features,score,cols
1,1.0,0.4,['hours_00-05']
2,2.0,0.47,"['hours_00-05', 'hours_21-23']"
3,3.0,0.49,"['hours_00-05', 'hours_06-09', 'hours_21-23']"
4,4.0,0.5,"['hours_00-05', 'hours_06-09', 'hours_10-15', 'hours_21-23']"
5,5.0,0.5,"['hours_00-05', 'hours_06-09', 'hours_10-15', 'hours_16-20', 'hours_21-23']"
6,6.0,0.5,"['weekday_friday', 'hours_00-05', 'hours_06-09', 'hours_10-15', 'hours_16-20', 'hours_21-23']"
7,7.0,0.5,"['weekday_thursday', 'weekday_friday', 'hours_00-05', 'hours_06-09', 'hours_10-15', 'hours_16-20', 'hours_21-23']"
8,8.0,0.5,"['weekday_thursday', 'weekday_friday', 'weekday_saturday', 'hours_00-05', 'hours_06-09', 'hours_10-15', 'hours_16-20', 'hours_21-23']"
9,9.0,0.5,"['weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'hours_00-05', 'hours_06-09', 'hours_10-15', 'hours_16-20', 'hours_21-23']"
10,10.0,0.5,"['weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'hours_00-05', 'hours_06-09', 'hours_10-15', 'hours_16-20', 'hours_21-23']"
11,11.0,0.5,"['weekday_monday', 'weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'hours_00-05', 'hours_06-09', 'hours_10-15', 'hours_16-20', 'hours_21-23']"
12,12.0,0.5,"['weekday_sunday', 'weekday_monday', 'weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'hours_00-05', 'hours_06-09', 'hours_10-15', 'hours_16-20', 'hours_21-23']"
13,13.0,0.53,"['month_jan', 'weekday_sunday', 'weekday_monday', 'weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'hours_00-05', 'hours_06-09', 'hours_10-15', 'hours_16-20', 'hours_21-23']"
14,14.0,0.54,"['month_jan', 'month_feb', 'weekday_sunday', 'weekday_monday', 'weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'hours_00-05', 'hours_06-09', 'hours_10-15', 'hours_16-20', 'hours_21-23']"
15,15.0,0.55,"['month_jan', 'month_feb', 'month_dec', 'weekday_sunday', 'weekday_monday', 'weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'hours_00-05', 'hours_06-09', 'hours_10-15', 'hours_16-20', 'hours_21-23']"
16,16.0,0.56,"['month_jan', 'month_feb', 'month_mar', 'month_dec', 'weekday_sunday', 'weekday_monday', 'weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'hours_00-05', 'hours_06-09', 'hours_10-15', 'hours_16-20', 'hours_21-23']"
17,17.0,0.54,"['month_jan', 'month_feb', 'month_mar', 'month_nov', 'month_dec', 'weekday_sunday', 'weekday_monday', 'weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'hours_00-05', 'hours_06-09', 'hours_10-15', 'hours_16-20', 'hours_21-23']"
18,18.0,0.55,"['month_jan', 'month_feb', 'month_mar', 'month_apr', 'month_nov', 'month_dec', 'weekday_sunday', 'weekday_monday', 'weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'hours_00-05', 'hours_06-09', 'hours_10-15', 'hours_16-20', 'hours_21-23']"
19,19.0,0.51,"['month_jan', 'month_feb', 'month_mar', 'month_apr', 'month_oct', 'month_nov', 'month_dec', 'weekday_sunday', 'weekday_monday', 'weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'hours_00-05', 'hours_06-09', 'hours_10-15', 'hours_16-20', 'hours_21-23']"
20,20.0,0.51,"['month_jan', 'month_feb', 'month_mar', 'month_apr', 'month_may', 'month_oct', 'month_nov', 'month_dec', 'weekday_sunday', 'weekday_monday', 'weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'hours_00-05', 'hours_06-09', 'hours_10-15', 'hours_16-20', 'hours_21-23']"
21,21.0,0.47,"['month_jan', 'month_feb', 'month_mar', 'month_apr', 'month_may', 'month_sep', 'month_oct', 'month_nov', 'month_dec', 'weekday_sunday', 'weekday_monday', 'weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'hours_00-05', 'hours_06-09', 'hours_10-15', 'hours_16-20', 'hours_21-23']"
22,22.0,0.47,"['month_jan', 'month_feb', 'month_mar', 'month_apr', 'month_may', 'month_jul', 'month_sep', 'month_oct', 'month_nov', 'month_dec', 'weekday_sunday', 'weekday_monday', 'weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'hours_00-05', 'hours_06-09', 'hours_10-15', 'hours_16-20', 'hours_21-23']"
23,23.0,0.48,"['month_jan', 'month_feb', 'month_mar', 'month_apr', 'month_may', 'month_jul', 'month_aug', 'month_sep', 'month_oct', 'month_nov', 'month_dec', 'weekday_sunday', 'weekday_monday', 'weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'hours_00-05', 'hours_06-09', 'hours_10-15', 'hours_16-20', 'hours_21-23']"
24,24.0,0.48,"['month_jan', 'month_feb', 'month_mar', 'month_apr', 'month_may', 'month_jun', 'month_jul', 'month_aug', 'month_sep', 'month_oct', 'month_nov', 'month_dec', 'weekday_sunday', 'weekday_monday', 'weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'hours_00-05', 'hours_06-09', 'hours_10-15', 'hours_16-20', 'hours_21-23']"
25,25.0,0.61,"['year_2011', 'month_jan', 'month_feb', 'month_mar', 'month_apr', 'month_may', 'month_jun', 'month_jul', 'month_aug', 'month_sep', 'month_oct', 'month_nov', 'month_dec', 'weekday_sunday', 'weekday_monday', 'weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'hours_00-05', 'hours_06-09', 'hours_10-15', 'hours_16-20', 'hours_21-23']"
26,26.0,0.61,"['year_2011', 'year_2012', 'month_jan', 'month_feb', 'month_mar', 'month_apr', 'month_may', 'month_jun', 'month_jul', 'month_aug', 'month_sep', 'month_oct', 'month_nov', 'month_dec', 'weekday_sunday', 'weekday_monday', 'weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'hours_00-05', 'hours_06-09', 'hours_10-15', 'hours_16-20', 'hours_21-23']"
27,27.0,0.82,"['year_2011', 'year_2012', 'month_jan', 'month_feb', 'month_mar', 'month_apr', 'month_may', 'month_jun', 'month_jul', 'month_aug', 'month_sep', 'month_oct', 'month_nov', 'month_dec', 'weekday_sunday', 'weekday_monday', 'weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'calculated_peak', 'hours_00-05', 'hours_06-09', 'hours_10-15', 'hours_16-20', 'hours_21-23']"
28,28.0,0.85,"['year_2011', 'year_2012', 'month_jan', 'month_feb', 'month_mar', 'month_apr', 'month_may', 'month_jun', 'month_jul', 'month_aug', 'month_sep', 'month_oct', 'month_nov', 'month_dec', 'weekday_sunday', 'weekday_monday', 'weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'predefined_peak', 'calculated_peak', 'hours_00-05', 'hours_06-09', 'hours_10-15', 'hours_16-20', 'hours_21-23']"
